Student ID,Roll,Date,Time,Status,Teacher,Subject,Period
1,CSE/142/21,2025-06-30,21:51:46,Present,Ateesh Kumar,Machine Learning,1
2,CSE/141/21,2025-06-30,21:51:46,Present,Ateesh Kumar,Machine Learning,1
