Student ID,Roll,Date,Time,Status,Teacher,Subject,period
24,CSE/142/21,2025-04-09,15:02:33,Present,Ateesh Kumar,Machine Learning,1
25,CSE/140/21,2025-04-09,15:02:52,Present,Ateesh Kumar,Machine Learning,1
